GitHub,DOI
https://github.com/manlius/muxViz,10.1093/comnet/cnu038
https://github.com/ding-lab/MuSiC2,10.1101/gr.134635.111
https://github.com/kingsfordgroup/armatus,10.1186/1748-7188-9-14
https://github.com/bulik/ldsc,10.1038/ng.3404
https://github.com/CshlSiepelLab/LINSIGHT,10.1038/ng.3810
https://github.com/davek44/Basset,10.1101/gr.200535.115
https://github.com/hms-dbmi/spp,10.1038/nbt.1508
https://github.com/arq5x/bits,10.1093/bioinformatics/bts652
https://github.com/NYU-BFX/hic-bench,10.1186/s12864-016-3387-6
https://github.com/jacoblevine/PhenoGraph,10.1101/229799
https://github.com/Kingsford-Group/squid,10.1186/s13059-018-1421-5
https://github.com/mani2012/BatchQC,10.1093/bioinformatics/btw538
https://github.com/ding-lab/hotspot3d,10.1038/ng.3586
https://github.com/dphansti/Sushi,10.1093/bioinformatics/btu379
https://github.com/joepickrell/fgwas,10.1016/j.ajhg.2014.03.004
https://github.com/uci-cbcl/DanQ,10.1093/nar/gkw226
https://github.com/deeptools/HiCExplorer,10.1038/s41467-017-02525-w
https://github.com/raerose01/deconstructSigs,10.1186/s13059-016-0893-4
https://github.com/GreenleafLab/chromVAR,10.1038/nmeth.4401
https://github.com/jts/sga,10.1101/gr.126953.111
https://github.com/kstreet13/slingshot,10.1186/s12864-018-4772-0
https://github.com/lindaszabo/KNIFE,10.1186/s13059-015-0690-5
https://github.com/vastgroup/vast-tools,10.1101/gr.220962.117
https://github.com/BatzoglouLabSU/SIMLR,10.1038/nmeth.4207
https://github.com/shwhalen/targetfinder,10.1038/ng.3539
https://github.com/imbs-hl/ranger,10.18637/jss.v077.i01
https://github.com/Oshlack/splatter,10.1186/s13059-017-1305-0
https://github.com/zhangyan32/HiCPlus,10.1038/s41467-018-03113-2
